#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
YA|MC10|01|BHZ|28.976101|103.870499|448.0|0.0|0.0|-90.0|Streckeisen STS-2/Reftek 130 Datalogger|944145000.0|0.1|M/S|40.0|2003-10-14T07:25:55|2004-12-30T23:59:59
YA|MC11|01|BHE|28.331499|103.123901|2036.0|0.0|90.0|0.0|Streckeisen STS-2/Reftek 130 Datalogger|944145000.0|0.1|M/S|40.0|2003-10-04T02:39:00|2004-12-30T23:59:59
YA|MC11|01|BHN|28.331499|103.123901|2036.0|0.0|0.0|0.0|Streckeisen STS-2/Reftek 130 Datalogger|944145000.0|0.1|M/S|40.0|2003-10-04T02:39:00|2004-12-30T23:59:59
YA|MC11|01|BHZ|28.331499|103.123901|2036.0|0.0|0.0|-90.0|Streckeisen STS-2/Reftek 130 Datalogger|944145000.0|0.1|M/S|40.0|2003-10-04T02:39:00|2004-12-30T23:59:59
YA|MC12|01|BHE|27.662901|102.208397|1542.0|0.0|90.0|0.0|Guralp CMG3ESP/Reftek 130 Datalogger|1258650000.0|2.0|M/S|40.0|2003-10-01T07:10:00|2004-12-30T23:59:59
YA|MC12|01|BHN|27.662901|102.208397|1542.0|0.0|0.0|0.0|Guralp CMG3ESP/Reftek 130 Datalogger|1258650000.0|2.0|M/S|40.0|2003-10-01T07:10:00|2004-12-30T23:59:59
YA|MC12|01|BHZ|27.662901|102.208397|1542.0|0.0|0.0|-90.0|Guralp CMG3ESP/Reftek 130 Datalogger|1258650000.0|2.0|M/S|40.0|2003-10-01T07:10:00|2004-12-30T23:59:59
YA|MC13|01|BHE|27.741501|100.756401|2730.0|0.0|90.0|0.0|Streckeisen STS-2/Reftek 130 Datalogger|944145000.0|0.1|M/S|40.0|2003-09-22T03:07:00|2004-12-30T23:59:59
YA|MC13|01|BHN|27.741501|100.756401|2730.0|0.0|0.0|0.0|Streckeisen STS-2/Reftek 130 Datalogger|944145000.0|0.1|M/S|40.0|2003-09-22T03:07:00|2004-12-30T23:59:59
YA|MC13|01|BHZ|27.741501|100.756401|2730.0|0.0|0.0|-90.0|Streckeisen STS-2/Reftek 130 Datalogger|944145000.0|0.1|M/S|40.0|2003-09-22T03:07:00|2004-12-30T23:59:59
YA|MC14|01|BHE|27.864599|99.735199|3330.0|0.0|90.0|0.0|Streckeisen STS-2/Reftek 130 Datalogger|944145000.0|0.1|M/S|40.0|2003-09-24T03:06:00|2004-12-30T23:59:59
YA|MC14|01|BHN|27.864599|99.735199|3330.0|0.0|0.0|0.0|Streckeisen STS-2/Reftek 130 Datalogger|944145000.0|0.1|M/S|40.0|2003-09-24T03:06:00|2004-12-30T23:59:59
YA|MC14|01|BHZ|27.864599|99.735199|3330.0|0.0|0.0|-90.0|Streckeisen STS-2/Reftek 130 Datalogger|944145000.0|0.1|M/S|40.0|2003-09-24T03:06:00|2004-12-30T23:59:59
YA|MC15|01|BHE|26.758801|99.988297|2402.0|0.0|90.0|0.0|Guralp CMG3ESP/Reftek 130 Datalogger|1258650000.0|2.0|M/S|40.0|2003-09-23T10:16:00|2004-03-20T10:15:59
YA|MC15|01|BHN|26.758801|99.988297|2402.0|0.0|0.0|0.0|Guralp CMG3ESP/Reftek 130 Datalogger|1258650000.0|2.0|M/S|40.0|2003-09-23T10:16:00|2004-03-20T10:15:59
YA|MC15|01|BHZ|26.758801|99.988297|2402.0|0.0|0.0|-90.0|Guralp CMG3ESP/Reftek 130 Datalogger|1258650000.0|2.0|M/S|40.0|2003-09-23T10:16:00|2004-03-20T10:15:59
