#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
LX|MESJ||HHZ|37.839539|-8.21994|250.0|0.0|0.0|-90.0|Streckeisen STS2|943719000.0|0.02|M/S|100.0|2007-07-04T00:00:00|
LX|MORF||BHE|37.304321|-8.652672|560.0|0.0|90.0|0.0|CMG-40T|1012950000.0|0.1|M/S|20.0|2005-07-18T00:00:00|
LX|MORF||BHN|37.304321|-8.652672|560.0|0.0|0.0|0.0|CMG-40T|999084000.0|0.1|M/S|20.0|2005-07-18T00:00:00|
LX|MORF||BHZ|37.304321|-8.652672|560.0|0.0|0.0|-90.0|CMG-40T|1022990000.0|0.1|M/S|20.0|2005-07-18T00:00:00|
LX|MORF||HHE|37.304321|-8.652672|560.0|0.0|90.0|0.0|CMG-40T|1012950000.0|0.1|M/S|100.0|2005-07-18T00:00:00|
LX|MORF||HHN|37.304321|-8.652672|560.0|0.0|0.0|0.0|CMG-40T|999084000.0|0.1|M/S|100.0|2005-07-18T00:00:00|
LX|MORF||HHZ|37.304321|-8.652672|560.0|0.0|0.0|-90.0|CMG-40T|1022990000.0|0.1|M/S|100.0|2005-07-18T00:00:00|
MI|AFOK||EHE|16.3416|145.6746|418.0|0.0|90.0|0.0|L22D|59762000.0|5.0|m/s|100.0|2000-01-01T00:00:00|
MI|AFOK||EHN|16.3416|145.6746|418.0|0.0|0.0|0.0|L22D|59762000.0|5.0|m/s|100.0|2000-01-01T00:00:00|
MI|AFOK||EHZ|16.3416|145.6746|418.0|0.0|0.0|-90.0|L22D|59762000.0|5.0|m/s|100.0|2000-01-01T00:00:00|
MI|ANA2||BHE|16.3412|145.7115|317.0|0.0|90.0|-90.0|CMG-6TD-T6A95|4378540000.0|1.0|m/s|50.0|2011-06-01T00:00:00|
MI|ANA2||BHN|16.3412|145.7115|317.0|0.0|0.0|0.0|CMG-6TD-T6A95|4340790000.0|1.0|m/s|50.0|2011-06-01T00:00:00|
MI|ANA2||BHZ|16.3412|145.7115|317.0|0.0|0.0|-90.0|CMG-6TD-T6A95|4378540000.0|1.0|m/s|50.0|2011-06-01T00:00:00|
MI|ANA2||EHZ|16.3412|145.7115|317.0|0.0|0.0|-90.0|Mark L-4 1 Hz|22281000.0|5.0|m/s|100.0|2000-01-01T00:00:00|
MI|ANNE||BHE|16.358|145.7162|0.0|0.0|90.0|-90.0|CMG-6TD-T6A95|4378540000.0|1.0|m/s|50.0|2011-06-01T00:00:00|
MI|ANNE||BHN|16.358|145.7162|0.0|0.0|0.0|0.0|CMG-6TD-T6A95|4340790000.0|1.0|m/s|50.0|2011-06-01T00:00:00|
MI|ANNE||BHZ|16.358|145.7162|0.0|0.0|0.0|-90.0|CMG-6TD-T6A95|4378540000.0|1.0|m/s|50.0|2011-06-01T00:00:00|
MI|ANNE||EHZ|16.358|145.7162|0.0|0.0|0.0|-90.0|Mark L-4 1 Hz|88700000.0|5.0|m/s|100.0|2000-01-01T00:00:00|
MI|ANSV||BHE|16.3417|145.6734|390.0|0.0|90.0|-90.0|CMG-6TD-T6A95|4378540000.0|1.0|m/s|50.0|2003-06-27T00:00:00|
MI|ANSV||BHN|16.3417|145.6734|390.0|0.0|0.0|0.0|CMG-6TD-T6A95|4340790000.0|1.0|m/s|50.0|2003-06-27T00:00:00|
MI|ANSV||BHZ|16.3417|145.6734|390.0|0.0|0.0|-90.0|CMG-6TD-T6A95|4378540000.0|1.0|m/s|50.0|2003-06-27T00:00:00|
MI|ANSW||BHE|16.3417|145.6734|390.0|0.0|90.0|-90.0|CMG-6TD-T6A95|4378540000.0|1.0|m/s|50.0|2003-06-27T00:00:00|
